SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,0,1440761,65244,6287704,776955,1018157,5529017
TGL,0,1397832,66688,5445264,757892,938731,5256385
SPR,0,1428748,66443,6362354,780087,1081279,5527700
TGL,0,1411753,66918,5182837,754578,906204,5255510
SPR,0,1424044,66138,5901841,792608,1089353,5607483
TGL,0,1386525,66383,5449500,728671,957682,5291026
SPR,0,1426933,66906,6297328,861914,1082923,5617517
TGL,0,1426359,66866,5031141,794217,934584,5169834
SPR,0,1447449,68019,6397583,856834,1066093,5575333
TGL,0,1435727,66173,4640541,738375,969028,5303642
SPR,0,1433525,68078,6359504,774672,1010828,5566815
TGL,0,1447821,65109,5011869,768710,1112934,5262329
SPR,0,1425314,66223,6430233,779947,1040320,5569649
TGL,0,1403521,89967,5421219,766456,943015,5230181
SPR,0,1429451,65709,6405073,779171,1100285,5539121
TGL,0,1409875,66786,5034305,739556,940049,5220327
SPR,0,1495979,66271,6383667,788192,1016873,5668599
TGL,0,1490567,65823,5016135,776237,953696,5368473
SPR,0,1440559,65789,5929057,774140,1097312,5576191
TGL,0,1394444,65281,5052294,717701,931122,5235543
SPR,0,1451753,66152,6306028,778132,1019025,5605419
TGL,0,1392410,65450,4999666,726518,942905,5333428
SPR,0,1448108,66515,6333855,790739,1012930,5558157
TGL,0,1382671,72981,5093387,760370,1005775,5323259
SPR,0,1424279,78294,6380543,783199,1029271,5553913
TGL,0,1382056,86948,4616158,730551,954294,5259632
SPR,0,1507670,66607,6388069,783885,1064718,5588083
TGL,0,1398320,97385,4985778,722992,961293,5245575
SPR,0,1430077,67219,5839387,861081,1036466,5677627
TGL,0,1398665,70827,5034006,716471,938355,5186680
SPR,0,1476056,65973,5750462,798091,1019435,5621353
TGL,0,1398809,97908,5022310,718416,985844,5285702
SPR,0,1423314,65270,6381986,772003,1094636,5588718
TGL,0,1429897,90943,5406555,719253,953147,5228189
SPR,0,1441174,66787,6335182,778168,1081112,5562133
TGL,0,1406910,68587,4575609,747656,979555,5286280
SPR,0,1430554,65823,6342511,777203,1010347,5478630
TGL,0,1398052,66191,5073760,747098,959616,5344071
SPR,0,1424157,66162,6271543,788898,1118035,5618819
TGL,0,1407030,66557,4602117,738127,1014998,5251642
SPR,0,1437852,66484,5905574,860640,1030338,5639138
TGL,0,1431174,70482,5068737,739342,920474,5230164
SPR,0,1431164,66718,6382068,858585,1022253,5725543
TGL,0,1420079,125222,5454325,815872,913744,5446317
SPR,0,1435846,65842,5971837,848191,1023657,5684861
TGL,0,1446156,87507,4620979,778493,918583,5432887
SPR,0,1444746,68951,6454612,818782,1092773,5652300
TGL,0,1434218,95128,5535911,723642,987494,5210436
SPR,0,1453030,69176,6405729,798349,1107460,5640436
TGL,0,1386333,86910,5068875,771262,981359,5242126
SPR,0,1441081,64285,6434398,855798,1019355,5627411
TGL,0,1397975,66546,5000166,752354,970155,5200346
SPR,0,1434888,66211,6341944,773110,1015312,5704911
TGL,0,1425143,65835,5497806,773752,909846,5403399
SPR,0,1438561,66442,6310560,783720,1035759,5606479
TGL,0,1401684,65775,5069642,773871,911888,5199464
SPR,0,1437805,74234,6397596,770127,1005607,5580865
TGL,0,1441468,67881,4598343,741303,954194,5245827
