SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
SPR,1,1464588,66300,7428338,785896,1103874,5514522
TGL,1,1238297,59721,5717667,631610,847881,4651517
SPR,1,1433009,67346,7522818,801376,1003895,5473140
TGL,1,1231758,58541,5512556,662777,872461,4596658
SPR,1,1456921,66571,7502094,785603,1005306,5463438
TGL,1,1294207,57832,5614507,662040,830417,4714118
SPR,1,1530654,68004,7591410,883009,1126901,5561689
TGL,1,1250160,57670,5640910,670919,827717,4646067
SPR,1,1425761,67458,7533634,785880,1010700,5531874
TGL,1,1239973,59322,5602785,667871,892013,4742672
SPR,1,1547587,68078,7499350,783218,1009476,5548338
TGL,1,1334447,56900,5591608,740011,822044,4658733
SPR,1,1436041,66119,7524319,791310,1013620,5526096
TGL,1,1275659,58872,5537886,670704,816493,4795254
SPR,1,1434124,65959,7481164,788673,1120658,5489556
TGL,1,1235677,58712,5538562,660392,836245,4653336
SPR,1,1446636,67525,7521736,882549,1004872,5538896
TGL,1,1235935,58716,5523490,667358,909338,4630174
SPR,1,1436759,67000,7505747,772320,1005356,5629304
TGL,1,1242352,60002,5541655,673863,898494,4655443
SPR,1,1529147,67542,7484550,783074,1021098,5511525
TGL,1,1275687,59572,5596311,671655,833926,4628941
SPR,1,1518607,67099,7581772,884954,1022319,5539230
TGL,1,1225476,58387,5581810,662311,830345,4618590
SPR,1,1436377,66864,7536326,799307,1015406,5532090
TGL,1,1291821,57579,5638378,655548,811034,4648703
SPR,1,1544946,64708,7559339,771652,1002233,5465367
TGL,1,1299919,58037,5655195,664594,820032,4680383
SPR,1,1431615,66827,7532152,868647,1079949,5579250
TGL,1,1234129,58910,5571658,663787,819329,4669032
SPR,1,1535051,66133,7448338,795431,1038950,5593901
TGL,1,1296030,62391,5586782,709662,810737,4623160
SPR,1,1455913,66587,7531992,780236,1126610,5554767
TGL,1,1286111,59502,5549038,708571,813655,4603482
SPR,1,1442006,67341,7538748,781515,1018613,5580393
TGL,1,1262552,59282,5529026,676619,827204,4606540
SPR,1,1432440,65935,7503192,865359,997728,5580718
TGL,1,1259519,58242,5524051,669659,995079,4689795
SPR,1,1434150,67485,7710023,888964,1022334,5556376
TGL,1,1235692,58342,5515656,665753,829971,4626829
SPR,1,1439979,67089,7531393,867350,1020236,5552836
TGL,1,1227235,59488,5543143,661692,858976,4625245
SPR,1,1429730,64418,7509396,882787,1013316,5543572
TGL,1,1229914,59392,5516657,664282,840117,4606041
SPR,1,1435770,67201,7488687,801999,1018522,5516450
TGL,1,1226897,66646,5705288,669236,860906,4721509
SPR,1,1531384,66948,7519136,786643,1106639,5652538
TGL,1,1281738,58413,5622073,654239,820050,4642786
SPR,1,1456224,66713,7556230,782465,1110222,5526855
TGL,1,1242154,58030,5553028,657331,825655,4655699
SPR,1,1458594,73058,7444464,778150,1008004,5477007
TGL,1,1229480,59437,5520288,665313,825722,4619625
SPR,1,1424753,67196,7543245,784751,1091332,5732540
TGL,1,1232783,59506,5512193,661460,865411,4576967
SPR,1,1444259,67241,7499072,884238,1047696,5556070
TGL,1,1229248,90805,5499986,657527,866228,4679601
SPR,1,1429941,65982,7489117,862183,1006366,5616324
TGL,1,1287040,58990,5585480,658116,821970,4653871
SPR,1,1427425,68022,7519866,881201,1010143,5580714
TGL,1,1230504,57116,5557823,662436,820103,4630910
SPR,1,1427630,67329,7531685,784477,1047713,5485279
TGL,1,1227425,61370,5529189,666423,866677,4604910
SPR,1,1426280,67139,7480914,872951,1004851,5506697
TGL,1,1223685,59404,5519792,664494,865174,4600934
SPR,1,1422931,66140,7491965,873434,1007977,5562147
TGL,1,1230776,59897,5547981,661788,892864,4880331
SPR,1,1434776,67773,7534590,908119,1017714,5529895
TGL,1,1270832,57408,5603605,663592,830101,4644819
SPR,1,1534804,69662,7507583,867759,1010355,5534999
TGL,1,1227636,59837,5620692,765945,813494,4650635
SPR,1,1432668,66555,7492392,861661,1003841,5524791
TGL,1,1434607,58740,5700705,640445,805034,4798990
SPR,1,1419658,67199,7511746,887687,1015849,5523948
TGL,1,1275724,58169,5532665,659062,858797,4636536
SPR,1,1438558,66586,7496593,879501,1023821,5551014
TGL,1,1275547,66689,5582166,657427,855448,4699330
SPR,1,1442373,65948,7499699,775827,1106342,5562085
TGL,1,1231434,72965,5514401,659324,874654,4617152
SPR,1,1429784,65762,7540693,790011,1013873,5536926
TGL,1,1232484,60533,5529266,663035,861738,4661426
SPR,1,1430412,68217,7485983,886339,1025428,5514256
TGL,1,1298902,64349,5602944,659646,818023,4645654
SPR,1,1442259,64576,7534055,775659,1099381,5539671
TGL,1,1242815,59280,5552551,666078,823564,4630267
SPR,1,1444976,67844,7496322,778381,1012207,5612907
TGL,1,1243421,59772,5556689,669823,829118,4614868
SPR,1,1449391,66693,7478368,780806,1096031,5485416
TGL,1,1234667,60253,5503574,662173,835513,4665114
SPR,1,1522397,66252,7578061,813396,1023199,5524195
TGL,1,1225588,59590,5502570,666863,821637,4615092
SPR,1,1462190,67762,7553840,896933,1017207,5490243
TGL,1,1293014,57673,5600920,658402,820907,4628103
SPR,1,1449675,66000,7429537,783635,1009010,5510183
TGL,1,1245453,60133,5579414,671930,821593,4641655
SPR,1,1436609,66712,7536680,783281,1023642,5647333
TGL,1,1293696,58992,5687145,659297,805668,4656341
SPR,1,1446105,66904,7509839,786001,1029587,5550933
TGL,1,1244966,58515,5560401,673027,818718,4689035
SPR,1,1436737,67230,7541274,888997,1119939,5559375
TGL,1,1227007,59326,5581421,673189,818410,4652757
SPR,1,1443052,67039,7531805,888826,1003994,5514177
TGL,1,1233516,57982,5564845,676714,829202,4690109
SPR,1,1471397,67226,7500780,787132,1101456,5475768
TGL,1,1232264,60257,5565779,668340,820820,4659131
SPR,1,1447175,66626,7446008,781428,1041791,5555809
TGL,1,1225711,59159,5573625,663218,820439,4700787
SPR,1,1443375,64742,7528026,883011,1006844,5610903
TGL,1,1229739,60329,5716874,707025,799238,4632158
SPR,1,1446940,67095,7474156,879074,1000896,5485869
TGL,1,1290519,58930,5527553,671172,821628,4587657
SPR,1,1438289,66208,7467796,775978,1027286,5510784
TGL,1,1309788,59423,5579279,671502,816388,4676429
SPR,1,1434119,66811,7561894,886810,1012869,5483942
TGL,1,1278693,59317,5607362,670128,824108,4615969
SPR,1,1434651,67074,7493911,858522,1012466,5496635
TGL,1,1236030,60052,5562473,766122,808576,4636448
SPR,1,1453738,67112,7452297,782373,1033239,5587290
TGL,1,1350774,57557,5544920,702877,812078,4617842
SPR,1,1456525,66871,7529549,785054,1092725,5678235
TGL,1,1307025,59473,5566274,666869,823690,4667909
SPR,1,1536125,67316,7480957,785497,1049717,5530764
TGL,1,1418665,58287,5580299,708124,814626,4613720
SPR,1,1443539,70460,7549649,790578,1006822,5454856
TGL,1,1287987,60357,5518007,713525,812053,4594011
SPR,1,1440516,66721,7686601,783521,1104224,5596759
TGL,1,1266995,59288,5512272,691663,826115,4592575
SPR,1,1444914,65941,7510805,777697,1122069,5526267
TGL,1,1299465,65323,5729014,632875,803238,4624777
SPR,1,1538193,67863,7478960,802724,1023840,5545668
TGL,1,1289522,58254,5538218,650796,855869,4657491
SPR,1,1435780,68137,7543656,887838,1009046,5523663
TGL,1,1286611,59495,5649762,657119,873047,4630614
SPR,1,1430432,66111,7560522,799844,1016718,5519367
TGL,1,1222866,130049,5497171,666771,878656,4640968
SPR,1,1528377,67281,7521830,773743,1012586,5475596
TGL,1,1237911,60109,5496074,659400,874527,4620193
SPR,1,1432855,67293,7599289,908514,1012801,5541605
TGL,1,1233524,58597,5512673,665382,859598,4623950
SPR,1,1434623,66933,7547526,864162,1004336,5515806
TGL,1,1235945,60424,5515640,663027,908144,4956893
SPR,1,1438149,67029,7521440,865020,1005962,5521096
TGL,1,1259387,59392,5510319,663965,823266,4623053
SPR,1,1425110,67104,7628654,807803,1029589,5487679
TGL,1,1232085,59005,5546548,667127,879190,4670750
SPR,1,1537991,70395,7585916,775218,1004815,5483866
TGL,1,1272853,59111,5617723,656352,815166,4636463
SPR,1,1445446,67202,7539606,774055,1005311,5555881
TGL,1,1236762,58326,5574805,665300,831593,4607598
SPR,1,1433479,67986,7586928,890269,1014734,5579548
TGL,1,1229757,59584,5597959,671159,823896,4610032
SPR,1,1431059,67012,7554584,888612,1007246,5646325
TGL,1,1228261,60155,5594891,668935,820056,4595866
SPR,1,1450353,64521,7525619,875780,1012419,5656505
TGL,1,1228991,59837,5578998,666210,897266,4735828
SPR,1,1441593,67678,7489382,786106,1007303,5509496
TGL,1,1231639,59614,5731368,700552,797149,4632495
SPR,1,1516682,67149,7568801,795178,1121924,5573776
TGL,1,1277548,58455,5499802,738522,809093,4717086
SPR,1,1444762,66528,7558153,783121,1011013,5537615
TGL,1,1278724,58147,5520263,708097,809598,4607627
SPR,1,1448766,68080,7546406,882171,1007600,5550525
TGL,1,1274492,58242,5491536,665868,813426,4743799
SPR,1,1435896,80445,7492291,795979,1113075,5495813
TGL,1,1236888,59300,5499295,661055,831004,4615803
SPR,1,1526058,65676,7565254,791722,1250166,5592317
TGL,1,1228735,58463,5508882,659587,836471,4641737
SPR,1,1471353,66399,7628691,782803,1128288,5627688
TGL,1,1226519,59634,5515331,662832,827957,4640375
SPR,1,1435846,67430,7572288,788013,1105164,5569075
TGL,1,1236210,58923,5501947,665309,819322,4616074
SPR,1,1453551,67088,7487504,870469,1004459,5564622
TGL,1,1231734,59601,5535910,663973,849444,4611614
SPR,1,1433272,67310,7525387,889981,1008002,5516003
TGL,1,1238125,59850,5503552,662950,827681,4607231
SPR,1,1427600,66205,7524462,889996,1035182,5576410
TGL,1,1234979,59549,5545993,666421,832292,4614166
SPR,1,1469021,67166,7458757,783400,1004350,5472969
TGL,1,1234269,59328,5486869,663885,820659,4617829
SPR,1,1458871,66186,7537881,867511,1007513,5558911
TGL,1,1239995,59218,5518327,668183,827938,4630826
SPR,1,1434034,66686,7870065,898542,1029854,5676207
TGL,1,1226375,59667,5492150,665898,833168,4648718
SPR,1,1445633,67831,7561804,895900,1021926,5656237
TGL,1,1282647,58655,5531050,651431,851123,4624373
SPR,1,1442294,66204,7529855,774010,1117216,5565686
TGL,1,1235742,59965,5510810,666775,832205,4713899
SPR,1,1444876,67727,7530667,779907,1006107,5619261
TGL,1,1227479,57637,5578972,667104,830257,4595297
SPR,1,1452796,66605,7494398,782903,1016947,5600397
TGL,1,1232999,58814,5481567,663348,877096,4602853
SPR,1,1424564,67447,7540773,787943,1014259,5516646
TGL,1,1235331,59022,5498045,663415,855391,4603213
SPR,1,1433225,66978,7547068,790066,1016748,5526895
TGL,1,1226408,59439,5497200,663959,857590,4575261
SPR,1,1430259,67311,7514604,881045,1008481,5662076
TGL,1,1232791,59665,5467172,671742,864807,4623451
SPR,1,1438013,66095,7507508,870460,1015931,5601234
TGL,1,1230229,59682,5504150,673023,818136,4759895
SPR,1,1464930,65762,7472822,875547,1006329,5488103
TGL,1,1234376,58414,5543696,669683,823629,4637158
SPR,1,1424475,66629,7473670,904574,1007167,5503497
TGL,1,1225015,60175,5517500,664962,839785,4612975
SPR,1,1426286,64137,7481974,872255,1001568,5489310
TGL,1,1237171,60228,5495371,661054,865540,4590941
SPR,1,1425069,67955,7499263,792428,1014958,5603029
TGL,1,1230649,58620,5489330,663523,873607,4588160
SPR,1,1445890,66872,7481621,779354,1013522,5550088
TGL,1,1230578,65997,5485565,668471,812632,4697937
SPR,1,1431598,67459,7573024,796147,1125245,5551973
TGL,1,1241323,58718,5566893,667834,885765,4661423
SPR,1,1443496,67129,7527456,781702,1101019,5612487
TGL,1,1238668,61841,5559812,662368,827020,4610658
SPR,1,1572092,66527,7494698,796655,1011699,5616791
TGL,1,1231556,59487,5511356,664210,821346,4670713
SPR,1,1450538,67035,7498096,782443,1012768,5523139
TGL,1,1298336,57593,5619885,656725,815079,4678475
SPR,1,1533690,67138,7445656,813704,1025198,5640305
TGL,1,1241405,59425,5591221,669179,821315,4654382
SPR,1,1448714,67507,7419113,798379,1115425,5547273
TGL,1,1231082,59838,5584917,665895,823200,4619964
SPR,1,1455919,67395,7476132,786367,1000019,5616420
TGL,1,1234295,59252,5610864,666063,817774,4702906
SPR,1,1490320,66829,7502295,785215,1021865,5519373
TGL,1,1231327,59158,5549855,766547,825038,4633927
SPR,1,1542211,67117,7677735,838171,1046010,5643383
TGL,1,1351031,57580,5566272,731969,811803,4625932
SPR,1,1438405,69654,7534376,789514,1126025,5545997
TGL,1,1276484,59533,5517521,747469,875280,4631245
SPR,1,1442928,66550,7528174,885776,1010940,5536625
TGL,1,1300781,58661,5526616,665161,822918,4609859
SPR,1,1441431,67520,7488525,782708,1002834,5512611
TGL,1,1260745,58127,5518637,663315,823415,4651084
SPR,1,1431203,67285,7585359,878770,1030238,5633276
TGL,1,1324228,57124,5609725,661781,821797,4608444
SPR,1,1447163,66133,7434474,783611,1024011,5508844
TGL,1,1240828,60598,5505467,661837,840351,4639684
SPR,1,1454612,70377,7490112,783347,1106984,5672682
TGL,1,1223546,61085,5514432,670007,846511,4643834
SPR,1,1468242,67142,7517090,786199,1012883,5557087
TGL,1,1276905,59232,5562638,666252,853256,4624050
SPR,1,1445580,66188,7563060,862115,1016607,5589657
TGL,1,1274452,58147,5525395,659332,878497,4631236
SPR,1,1435985,65779,7626134,905591,1036218,5553652
TGL,1,1218808,58011,5502450,663131,879141,4635153
SPR,1,1431957,66883,7594940,883153,1183272,5683627
TGL,1,1227854,59642,5552226,658457,874352,4615190
SPR,1,1480600,67731,7602106,792644,1015826,5454820
TGL,1,1229937,60229,5520587,667791,867519,4625599
SPR,1,1449578,67315,7503629,777584,1007642,5649806
TGL,1,1233267,58700,5495069,665139,862209,4633480
SPR,1,1555789,67357,7515568,782477,1010367,5515702
TGL,1,1221496,92777,5496039,681590,864842,4623596
SPR,1,1440655,67496,7529137,790841,1119478,5553746
TGL,1,1226118,59901,5577887,661992,890298,4605533
SPR,1,1443742,67022,7556689,791104,1015108,5593855
TGL,1,1235128,58146,5488448,666633,866960,4620297
SPR,1,1444702,79024,7519947,868035,1032362,5492655
TGL,1,1227266,60415,5700357,628762,849987,4616713
SPR,1,1428469,64385,7531782,887495,1005438,5546499

TGL,0,1242932,57924,4830177,643290,813158,4629452
SPR,0,2397581,113724,11490464,1107541,1510605,8218193
TGL,0,1263625,86343,4529889,649484,794630,4655372
SPR,0,2016380,81667,9366668,1050544,1310392,7677088
TGL,0,1289624,59377,4236723,671897,834861,4787960
SPR,0,1754417,77943,8205375,980776,1172941,7186925
TGL,0,1253570,58652,4996045,728832,932892,4951892
SPR,0,1698694,75068,8237029,934779,1212323,6743840
TGL,0,1399385,72181,5449397,750757,960301,5334974
SPR,0,1623752,71535,7661037,842155,1190506,6303064
TGL,0,1420418,66694,5029496,729881,971943,5190977
SPR,0,1587775,67630,7343423,828466,1151139,6241855
TGL,0,1412527,67772,5041023,746361,1199547,5284312
SPR,0,1530089,66452,6926397,810537,1079486,6108310
TGL,0,1426220,66427,5008908,785028,923922,5307800
SPR,0,1456760,67674,6787618,871724,1095651,5929948
TGL,0,1390885,65179,4996884,721458,982584,5245676
SPR,0,1514700,67027,6555799,788009,1010305,5917634
TGL,0,1385418,68384,4645699,762405,915778,5269306
SPR,0,1443389,66332,5977322,780571,1056031,5808075
TGL,0,1401767,65915,5002937,767001,993559,5272883
SPR,0,1439093,67464,6426913,777415,1085441,5727930
TGL,0,1405360,66697,5452129,749273,966664,5312613
SPR,0,1438995,65631,6413440,858370,1076837,5771051
TGL,0,1393195,67310,4960288,764429,939940,5381443
SPR,0,1460632,66555,6473763,777949,1037268,5816410
TGL,0,1432158,70818,4944112,756090,907524,5381763
SPR,0,1437526,69634,6421658,775767,1097497,5701385
TGL,0,1387398,96573,5012970,790874,942807,5181905
SPR,0,1467570,67906,6331232,776564,1008835,5715524
TGL,0,1440908,67337,5026047,773112,1015319,5145029
SPR,0,1438817,67213,6441712,786438,1085429,5651359
TGL,0,1430522,66439,4992696,729535,970252,5171945
SPR,0,1422842,66672,6475992,784382,1011801,5626144
TGL,0,1452272,66199,5425421,715764,997665,5280973
SPR,0,1442255,65728,6455712,781487,1013346,5650307
TGL,0,1419085,103341,4646432,725880,952410,5297115
SPR,0,1507753,71673,6350855,799898,1046373,5632600
TGL,0,1424760,76485,5052283,728376,918763,5246926
SPR,0,1436449,66679,6313526,779760,1086379,5495827
TGL,0,1443851,65082,4987371,761750,923143,5155303
SPR,0,1428051,64916,5797235,818642,1044393,5643366
TGL,0,1444464,66953,5002764,740283,1126326,5219259
SPR,0,1438824,65444,5886254,784695,1106023,5612333
TGL,0,1406980,93311,4986201,715677,976282,5307298
SPR,0,1496042,65231,6355254,861068,1019863,5592870
TGL,0,1429442,94476,4651967,723605,984605,5280962
SPR,0,1466374,66260,6378957,857193,1013634,5621986
TGL,0,1402631,91874,4616767,717708,941015,5265843
SPR,0,1425394,64373,5835913,793094,1101085,5639897
TGL,0,1425168,88189,4604746,717030,992691,5316775
SPR,0,1435668,66861,6404348,780726,1119715,5606981
TGL,0,1399706,97640,5014739,778134,918096,5138808
SPR,0,1421998,67494,6280211,782290,1023550,5624199
TGL,0,1448092,67345,4994969,746182,914976,5295861
SPR,0,1487549,67885,6358486,782249,1014867,5639920
TGL,0,1402537,69083,5001260,775981,987433,5240642
SPR,0,1436874,67405,6321008,858246,1017708,5607882
TGL,0,1388649,89713,4979866,714585,972028,5380471
SPR,0,1442223,67037,5809022,799463,1026992,5668929
TGL,0,1412914,66685,5415453,736434,974002,5351864
SPR,0,1430504,66264,5834779,779101,1038096,5631364
TGL,0,1432478,94093,4612631,740428,996499,5393534
